"www.agrometeorologia.cl","","","","","","","","","",""
"Red Agrometeorológica de INIA","","","","","","","","","",""
"Generado el 20-08-2024 19:02:35","","","","","","","","","",""
"San Pedro de Melipilla, San Pedro","","","","","","","","","",""
"","","","","","","","","","",""
"Tiempo UTC-4","Temperatura del Aire ºC","Temperatura del Aire Mínima ºC","Temperatura del Aire Máxima ºC","Humedad Relativa Mínima %","Humedad Relativa Máxima %","Temperatura del Aire % de datos ","Temperatura del Aire Mínima % de datos ","Temperatura del Aire Máxima % de datos ","Humedad Relativa Mínima % de datos ","Humedad Relativa Máxima % de datos "
"Ene-2020","19.8","11.9","27.6","37.6","85.4","100","100","100","100","100"
"Feb-2020","18.9","10.2","27.5","35.6","84.6","100","100","100","100","100"
"Mar-2020","18.3","9.8","26.8","38.7","89.7","100","100","100","100","100"
"Abr-2020","15.9","7.2","24.6","37.3","89.8","100","100","100","100","100"
"May-2020","13.5","5.5","21.4","43.7","92.6","100","100","100","100","100"
"Jun-2020","9.6","4.5","14.8","61.9","98.3","100","100","100","100","100"
"Jul-2020","10.3","4.6","16.1","57.8","98.3","100","100","100","100","100"
"Ago-2020","9.9","3","16.7","48.1","96.6","100","100","100","100","100"
"Sep-2020","12","4.4","19.6","45.4","96.4","100","100","100","100","100"
"Oct-2020","13.6","4.8","22.3","40.2","93.9","100","100","100","100","100"
"Nov-2020","16.1","8.1","24.2","40.6","89.7","100","100","100","100","100"
"Dic-2020","18.1","9.4","26.8","34.1","87.1","100","100","100","100","100"
"Ene-2021","18.6","10.9","26.3","40.4","88.8","100","100","100","100","100"
"Feb-2021","17.7","11.4","23.9","52.1","93.5","100","100","100","100","100"
"Mar-2021","17","9.5","24.4","45.3","92.9","100","100","100","100","100"
"Abr-2021","14.7","7.1","22.2","47.7","95","100","100","100","100","100"
"May-2021","12.4","4","20.8","43.6","95.6","100","100","100","100","100"
"Jun-2021","10.4","3.7","17.1","56.3","97.5","100","100","100","100","100"
"Jul-2021","8.4","0.9","15.9","51.9","98.4","100","100","100","100","100"
"Ago-2021","10.1","4.1","16.1","55.8","96.8","100","100","100","100","100"
"Sep-2021","11.4","3.5","19.4","43.9","96.4","100","100","100","100","100"
"Oct-2021","14.3","5.4","23.2","36","92.1","100","100","100","100","100"
"Nov-2021","16.6","8.4","24.7","37.5","89.1","100","100","100","100","100"
"Dic-2021","17.6","9.8","25.3","41.9","88.3","100","100","100","100","100"
"Ene-2022","18.7","10.5","27","36.5","83.9","100","100","100","100","100"
"Feb-2022","18.3","9.4","27.2","36.9","87.8","100","100","100","100","100"
"Mar-2022","17.3","8","26.6","33.2","86","100","100","100","100","100"
"Abr-2022","14.3","6","22.7","40.6","92.4","100","100","100","100","100"
"May-2022","11","4.3","17.8","53.5","96.3","100","100","100","100","100"
"Jun-2022","9.8","4.1","15.6","59.2","97.2","100","100","100","100","100"
"Jul-2022","8.4","2.4","14.4","61.5","98.7","100","100","100","100","100"
"Ago-2022","9.5","2.9","16.2","55.4","97.7","100","100","100","100","100"
"Sep-2022","10.8","3.9","17.7","52.9","96.4","100","100","100","100","100"
"Oct-2022","13.9","5.5","22.2","41.7","93","100","100","100","100","100"
"Nov-2022","16.5","8.8","24.2","44","91.5","100","100","100","100","100"
"Dic-2022","19.3","9.9","28.8","33.4","86.1","100","100","100","100","100"
"Ene-2023","18.7","10.5","27","39","88","100","100","100","100","100"
"Feb-2023","19.4","10.1","28.8","34.7","88.1","100","100","100","100","100"
"Mar-2023","18.8","9","28.6","34.1","90.2","100","100","100","100","100"
"Abr-2023","15.7","7.4","24","41.6","91.4","98","98","98","98","98"
"May-2023","12.6","5.6","19.5","52.5","97.3","100","100","100","100","100"
"Jun-2023","11.1","5.3","16.9","63","98.1","100","100","100","100","100"
"Jul-2023","10.4","4.2","16.5","60","98.1","100","100","100","100","100"
"Ago-2023","11.7","5.4","18.1","54.2","97.6","100","100","100","100","100"
"Sep-2023","12","6","18.1","52.5","95.9","100","100","100","100","100"
"Oct-2023","13.2","5.7","20.6","45.9","93.6","100","100","100","100","100"
"Nov-2023","15","7.3","22.7","42.9","93.8","100","100","100","100","100"
"Dic-2023","17.2","8.5","26","39","90.4","100","100","100","100","100"
"Ene-2024","19.1","11","27.3","41.4","89.8","97","97","97","97","97"
"","","","","","","","","","",""
"","","","","","","","","","",""
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.","","","","","","","","","",""
"Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png","","","","","","","","","",""
