system:index,Aver_K2O_rate_kg_ha,Aver_N_P2O5_K2O_rate_kg_ha,Aver_N_rate_kg_ha,Aver_P2O5_rate_kg_ha,COUNTRY_NA,Country,Crop,Crop_area_k_ha,FUBC_report_number,ISO3_code,K2O_k_t,K2O_pc_fert,K2O_rate_kg_ha,N_P2O5_K2O_k_t,N_k_t,N_pc_fert,N_rate_kg_ha,OBJECTID,Original_country_name_in_FUBC_report,P2O5_k_t,P2O5_pc_fert,P2O5_rate_kg_ha,Region_IFA,Shape_Area,Shape_Le_1,Shape_Leng,Year,Year_FUBC_publication,.geo
00000000000000000000,NA,NA,NA,NA,Benin,Benin,Cassava,120,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000001,NA,NA,NA,NA,Benin,Benin,Cotton,151,1,BEN,0.8,NA,5,NA,5.3,NA,35,277,BENIN,0.8,NA,5,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000002,NA,NA,NA,NA,Benin,Benin,Groundnut,100,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000003,NA,NA,NA,NA,Benin,Benin,Maize,450,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000004,NA,NA,NA,NA,Benin,Benin,Millet,41,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000005,NA,NA,NA,NA,Benin,Benin,Oil-Palm,300,1,BEN,NA,NA,NA,6.8,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000006,NA,NA,NA,NA,Benin,Benin,Pulses,100,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000007,NA,NA,NA,NA,Benin,Benin,Sorghum,150,1,BEN,NA,NA,NA,NA,NA,NA,NA,277,BENIN,NA,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1992,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000008,5,NA,35,5,Benin,Benin,Cotton,151,3,BEN,0.755,NA,NA,6.795,5.285,NA,NA,277,Benin,0.755,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1996,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
00000000000000000009,5,NA,35,5,Benin,Benin,Cotton,151,4,BEN,0.8,NA,NA,6.8,5.3,NA,NA,277,Benin,0.8,NA,NA,Africa,9.50074414205,21.7037438297,21.4411128319,1991,1999,"{""type"":""Point"",""coordinates"":[2.33543143808518,9.646393564374613]}"
